#Top: ios   Floorplan: io_1   Part: xc7k70tfbv676-2
#Generated by: dpeascoe   on: Fri Feb 20 10:06:56 2015
#Build: Vivado v2015.1   by: xbuild   on: Tue Feb 17 11:45:11 MST 2015

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 135 unassigned signals in this design. The last 135 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,Pull Type,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
,Y9,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,Y19,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,J9,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,K8,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,K10,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,K12,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,K14,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,L9,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,L13,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,L15,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,M8,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,M14,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,N9,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,N15,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,P14,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,R15,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,T14,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,U15,,VCCINT,,,,,,,,,,,,,,,,,,,,,
,T10,,VCCAUX,,,,,,,,,,,,,,,,,,,,VCCAUX,1.80
,U11,,VCCAUX,,,,,,,,,,,,,,,,,,,,VCCAUX,1.80
,L11,,VCCAUX,,,,,,,,,,,,,,,,,,,,VCCAUX,1.80
,M10,,VCCAUX,,,,,,,,,,,,,,,,,,,,VCCAUX,1.80
,P10,,VCCAUX,,,,,,,,,,,,,,,,,,,,VCCAUX,1.80
,T8,,VCCAUX_IO_G0,,,,,,,,,,,,,,,,,,,,,
,R9,,VCCAUX_IO_G0,,,,,,,,,,,,,,,,,,,,,
,P8,,VCCAUX_IO_G0,,,,,,,,,,,,,,,,,,,,,
,U21,,NC,,,,,,,,,,,,,,,,,,,,,
,U22,,NC,,,,,,,,,,,,,,,,,,,,,
,V22,,NC,,,,,,,,,,,,,,,,,,,,,
,U24,,NC,,,,,,,,,,,,,,,,,,,,,
,U25,,NC,,,,,,,,,,,,,,,,,,,,,
,V23,,NC,,,,,,,,,,,,,,,,,,,,,
,V24,,NC,,,,,,,,,,,,,,,,,,,,,
,U26,,NC,,,,,,,,,,,,,,,,,,,,,
,V26,,NC,,,,,,,,,,,,,,,,,,,,,
,W25,,NC,,,,,,,,,,,,,,,,,,,,,
,W26,,NC,,,,,,,,,,,,,,,,,,,,,
,V21,,NC,,,,,,,,,,,,,,,,,,,,,
,W21,,NC,,,,,,,,,,,,,,,,,,,,,
,AA25,,NC,,,,,,,,,,,,,,,,,,,,,
,AB25,,NC,,,,,,,,,,,,,,,,,,,,,
,W23,,NC,,,,,,,,,,,,,,,,,,,,,
,W24,,NC,,,,,,,,,,,,,,,,,,,,,
,AB26,,NC,,,,,,,,,,,,,,,,,,,,,
,AC26,,NC,,,,,,,,,,,,,,,,,,,,,
,Y25,,NC,,,,,,,,,,,,,,,,,,,,,
,Y26,,NC,,,,,,,,,,,,,,,,,,,,,
,AA23,,NC,,,,,,,,,,,,,,,,,,,,,
,AB24,,NC,,,,,,,,,,,,,,,,,,,,,
,Y23,,NC,,,,,,,,,,,,,,,,,,,,,
,AA24,,NC,,,,,,,,,,,,,,,,,,,,,
,Y22,,NC,,,,,,,,,,,,,,,,,,,,,
,AA22,,NC,,,,,,,,,,,,,,,,,,,,,
,AC23,,NC,,,,,,,,,,,,,,,,,,,,,
,AC24,,NC,,,,,,,,,,,,,,,,,,,,,
,W20,,NC,,,,,,,,,,,,,,,,,,,,,
,Y21,,NC,,,,,,,,,,,,,,,,,,,,,
,AD23,,NC,,,,,,,,,,,,,,,,,,,,,
,AD24,,NC,,,,,,,,,,,,,,,,,,,,,
,AB22,,NC,,,,,,,,,,,,,,,,,,,,,
,AC22,,NC,,,,,,,,,,,,,,,,,,,,,
,AB21,,NC,,,,,,,,,,,,,,,,,,,,,
,AC21,,NC,,,,,,,,,,,,,,,,,,,,,
,AD21,,NC,,,,,,,,,,,,,,,,,,,,,
,AE21,,NC,,,,,,,,,,,,,,,,,,,,,
,AF24,,NC,,,,,,,,,,,,,,,,,,,,,
,AF25,,NC,,,,,,,,,,,,,,,,,,,,,
,AD26,,NC,,,,,,,,,,,,,,,,,,,,,
,AE26,,NC,,,,,,,,,,,,,,,,,,,,,
,AE23,,NC,,,,,,,,,,,,,,,,,,,,,
,AF23,,NC,,,,,,,,,,,,,,,,,,,,,
,AD25,,NC,,,,,,,,,,,,,,,,,,,,,
,AE25,,NC,,,,,,,,,,,,,,,,,,,,,
,AE22,,NC,,,,,,,,,,,,,,,,,,,,,
,AF22,,NC,,,,,,,,,,,,,,,,,,,,,
,Y20,,NC,,,,,,,,,,,,,,,,,,,,,
,V13,,NC,,,,,,,,,,,,,,,,,,,,,
,AE17,,NC,,,,,,,,,,,,,,,,,,,,,
,AF17,,NC,,,,,,,,,,,,,,,,,,,,,
,AF14,,NC,,,,,,,,,,,,,,,,,,,,,
,AF15,,NC,,,,,,,,,,,,,,,,,,,,,
,AE18,,NC,,,,,,,,,,,,,,,,,,,,,
,AF18,,NC,,,,,,,,,,,,,,,,,,,,,
,AD15,,NC,,,,,,,,,,,,,,,,,,,,,
,AE15,,NC,,,,,,,,,,,,,,,,,,,,,
,AF19,,NC,,,,,,,,,,,,,,,,,,,,,
,AF20,,NC,,,,,,,,,,,,,,,,,,,,,
,AD16,,NC,,,,,,,,,,,,,,,,,,,,,
,AE16,,NC,,,,,,,,,,,,,,,,,,,,,
,AA14,,NC,,,,,,,,,,,,,,,,,,,,,
,AA15,,NC,,,,,,,,,,,,,,,,,,,,,
,AC14,,NC,,,,,,,,,,,,,,,,,,,,,
,AD14,,NC,,,,,,,,,,,,,,,,,,,,,
,Y15,,NC,,,,,,,,,,,,,,,,,,,,,
,Y16,,NC,,,,,,,,,,,,,,,,,,,,,
,AB14,,NC,,,,,,,,,,,,,,,,,,,,,
,AB15,,NC,,,,,,,,,,,,,,,,,,,,,
,AA17,,NC,,,,,,,,,,,,,,,,,,,,,
,AA18,,NC,,,,,,,,,,,,,,,,,,,,,
,AB16,,NC,,,,,,,,,,,,,,,,,,,,,
,AC16,,NC,,,,,,,,,,,,,,,,,,,,,
,AC18,,NC,,,,,,,,,,,,,,,,,,,,,
,AD18,,NC,,,,,,,,,,,,,,,,,,,,,
,AB17,,NC,,,,,,,,,,,,,,,,,,,,,
,AC17,,NC,,,,,,,,,,,,,,,,,,,,,
,AD20,,NC,,,,,,,,,,,,,,,,,,,,,
,AE20,,NC,,,,,,,,,,,,,,,,,,,,,
,AA19,,NC,,,,,,,,,,,,,,,,,,,,,
,AA20,,NC,,,,,,,,,,,,,,,,,,,,,
,AC19,,NC,,,,,,,,,,,,,,,,,,,,,
,AD19,,NC,,,,,,,,,,,,,,,,,,,,,
,AB19,,NC,,,,,,,,,,,,,,,,,,,,,
,AB20,,NC,,,,,,,,,,,,,,,,,,,,,
,Y17,,NC,,,,,,,,,,,,,,,,,,,,,
,Y18,,NC,,,,,,,,,,,,,,,,,,,,,
,V16,,NC,,,,,,,,,,,,,,,,,,,,,
,V17,,NC,,,,,,,,,,,,,,,,,,,,,
,W18,,NC,,,,,,,,,,,,,,,,,,,,,
,W19,,NC,,,,,,,,,,,,,,,,,,,,,
,W15,,NC,,,,,,,,,,,,,,,,,,,,,
,W16,,NC,,,,,,,,,,,,,,,,,,,,,
,V18,,NC,,,,,,,,,,,,,,,,,,,,,
,V19,,NC,,,,,,,,,,,,,,,,,,,,,
,V14,,NC,,,,,,,,,,,,,,,,,,,,,
,W14,,NC,,,,,,,,,,,,,,,,,,,,,
,W13,,NC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RXN_IN[7],IN,N,RXP_IN[7],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXN_IN[6],IN,N,RXP_IN[6],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXN_IN[5],IN,N,RXP_IN[5],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXN_IN[4],IN,N,RXP_IN[4],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXN_IN[3],IN,N,RXP_IN[3],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXN_IN[2],IN,N,RXP_IN[2],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXN_IN[1],IN,N,RXP_IN[1],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXN_IN[0],IN,N,RXP_IN[0],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXP_IN[7],IN,P,RXN_IN[7],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXP_IN[6],IN,P,RXN_IN[6],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXP_IN[5],IN,P,RXN_IN[5],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXP_IN[4],IN,P,RXN_IN[4],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXP_IN[3],IN,P,RXN_IN[3],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXP_IN[2],IN,P,RXN_IN[2],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXP_IN[1],IN,P,RXN_IN[1],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,RXP_IN[0],IN,P,RXN_IN[0],DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_0_i[7],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_0_i[6],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_0_i[5],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_0_i[4],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_0_i[3],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_0_i[2],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_0_i[1],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_0_i[0],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,LineState_pad_0_i[1],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,LineState_pad_0_i[0],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_0_i[7],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_0_i[6],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_0_i[5],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_0_i[4],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_0_i[3],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_0_i[2],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_0_i[1],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_0_i[0],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_1_i[7],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_1_i[6],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_1_i[5],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_1_i[4],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_1_i[3],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_1_i[2],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_1_i[1],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,DataIn_pad_1_i[0],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,LineState_pad_1_i[1],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,LineState_pad_1_i[0],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_1_i[7],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_1_i[6],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_1_i[5],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_1_i[4],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_1_i[3],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_1_i[2],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_1_i[1],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,VStatus_pad_1_i[0],IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,TXN_OUT[7],OUT,N,TXP_OUT[7],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXN_OUT[6],OUT,N,TXP_OUT[6],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXN_OUT[5],OUT,N,TXP_OUT[5],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXN_OUT[4],OUT,N,TXP_OUT[4],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXN_OUT[3],OUT,N,TXP_OUT[3],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXN_OUT[2],OUT,N,TXP_OUT[2],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXN_OUT[1],OUT,N,TXP_OUT[1],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXN_OUT[0],OUT,N,TXP_OUT[0],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXP_OUT[7],OUT,P,TXN_OUT[7],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXP_OUT[6],OUT,P,TXN_OUT[6],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXP_OUT[5],OUT,P,TXN_OUT[5],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXP_OUT[4],OUT,P,TXN_OUT[4],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXP_OUT[3],OUT,P,TXN_OUT[3],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXP_OUT[2],OUT,P,TXN_OUT[2],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXP_OUT[1],OUT,P,TXN_OUT[1],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,TXP_OUT[0],OUT,P,TXN_OUT[0],DIFF_HSTL_II_18,,SLOW,,,,,,,NP_VTT_50_FP_VTT_50,,
,,,,,,,,,DataOut_pad_0_o[7],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_0_o[6],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_0_o[5],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_0_o[4],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_0_o[3],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_0_o[2],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_0_o[1],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_0_o[0],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,OpMode_pad_0_o[1],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,OpMode_pad_0_o[0],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_pad_0_o[3],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_pad_0_o[2],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_pad_0_o[1],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_pad_0_o[0],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_1_o[7],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_1_o[6],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_1_o[5],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_1_o[4],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_1_o[3],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_1_o[2],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_1_o[1],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,DataOut_pad_1_o[0],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,OpMode_pad_1_o[1],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,OpMode_pad_1_o[0],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_pad_1_o[3],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_pad_1_o[2],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_pad_1_o[1],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_pad_1_o[0],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,or1200_pm_out[3],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,or1200_pm_out[2],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,or1200_pm_out[1],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,or1200_pm_out[0],OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,sysClk,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,reset,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,TILE0_REFCLK_PAD_N_IN,IN,N,TILE0_REFCLK_PAD_P_IN,DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,TILE0_REFCLK_PAD_P_IN,IN,P,TILE0_REFCLK_PAD_N_IN,DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,TILE1_REFCLK_PAD_N_IN,IN,N,TILE1_REFCLK_PAD_P_IN,DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,TILE1_REFCLK_PAD_P_IN,IN,P,TILE1_REFCLK_PAD_N_IN,DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,TILE2_REFCLK_PAD_N_IN,IN,N,TILE2_REFCLK_PAD_P_IN,DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,TILE2_REFCLK_PAD_P_IN,IN,P,TILE2_REFCLK_PAD_N_IN,DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,TILE3_REFCLK_PAD_N_IN,IN,N,TILE3_REFCLK_PAD_P_IN,DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,TILE3_REFCLK_PAD_P_IN,IN,P,TILE3_REFCLK_PAD_N_IN,DIFF_HSTL_II_18,,SLOW,,,,,,,,,
,,,,,,,,,GTPRESET_IN,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,TxReady_pad_0_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,RxValid_pad_0_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,RxActive_pad_0_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,RxError_pad_0_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,usb_vbus_pad_0_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,TxReady_pad_1_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,RxValid_pad_1_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,RxActive_pad_1_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,RxError_pad_1_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,usb_vbus_pad_1_i,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,or1200_clmode,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,or1200_pic_ints,IN,,,LVCMOS18,12,SLOW,,,,,,,,,
,,,,,,,,,phy_rst_pad_0_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,TxValid_pad_0_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,XcvSelect_pad_0_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,TermSel_pad_0_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,SuspendM_pad_0_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_Load_pad_0_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,phy_rst_pad_1_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,TxValid_pad_1_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,XcvSelect_pad_1_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,TermSel_pad_1_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,SuspendM_pad_1_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
,,,,,,,,,VControl_Load_pad_1_o,OUT,,,LVCMOS18,12,SLOW,,,,,,,FP_VTT_50,,
